customer_id,application_id,application_hour,application_day_of_week,account_open_year,preferred_contact,referral_code,account_status_code,random_noise_1,num_login_sessions,num_customer_service_calls,has_mobile_app,paperless_billing,age,annual_income,employment_length,employment_type,education,marital_status,num_dependents,employment_length_missing,credit_score,num_credit_accounts,oldest_credit_line_age,oldest_account_age_months,total_credit_limit,num_delinquencies_2yrs,num_inquiries_6mo,recent_inquiry_count,num_public_records,num_collections,account_diversity_index,loan_type,loan_amount,loan_term,interest_rate,loan_purpose,loan_to_value_ratio,origination_channel,loan_officer_id,marketing_campaign,monthly_income,existing_monthly_debt,monthly_payment,debt_to_income_ratio,debt_service_ratio,payment_to_income_ratio,credit_utilization,credit_usage_amount,available_credit,total_monthly_debt_payment,annual_debt_payment,loan_to_annual_income,total_debt_amount,monthly_free_cash_flow,revolving_balance_missing,state,regional_unemployment_rate,regional_median_income,regional_median_rent,housing_price_index,cost_of_living_index,previous_zip_code
100000,618540,21,0,2018,Email,REF0000,ACT-1,1.141229,12,2,0,0,57,52300,11.7,self_employed,some_college,Divorced,0,0,770,8,1.5,18.0,140600.0,0.0,1,1,0,0,0.25,personal,11300,24,10.26,Debt Consolidation,0.0,Online,1066,T,4358.0,1024.36,522.79,0.355,0.355,0.12,0.354,49772.4,90827.6,1547.15,18565.8,0.216,61072.4,2811.18,0,TN,4.1,53000,1400,99,73,390
100001,589784,9,6,2021,Phone,REF0000,ACT-1,0.943839,10,4,0,1,41,45700,5.5,self_employed,high_school,Married,1,0,733,7,14.6,175.2,90400.0,0.0,1,1,0,0,0.284,credit_card,6800,0,17.74,Revolving Credit,0.0,Branch,1041,B,3808.33,1206.09,204.0,0.37,0.37,0.054,0.282,25492.8,64907.2,1410.09,16921.08,0.149,32292.8,2398.24,0,CA,5.6,75000,1580,161,130,292
100002,554219,10,4,2019,Phone,REF0000,ACT-1,-0.116033,4,3,1,1,22,20000,4.4,part_time,graduate,Single,1,0,660,0,4.0,48.0,32400.0,0.0,5,5,0,1,0.05,credit_card,3400,0,19.42,Revolving Credit,0.0,Online,1001,W,1666.67,259.53,102.0,0.217,0.217,0.061,0.377,12214.8,20185.2,361.53,4338.36,0.17,15614.8,1305.14,0,NY,4.9,72000,1740,138,118,552
100003,613505,3,4,2011,Email,REF0000,ACT-2,-0.040562,7,0,1,0,27,44300,8.0,full_time,high_school,Single,1,0,605,14,9.0,108.0,39100.0,0.0,0,0,0,0,0.347,credit_card,12000,0,20.95,Revolving Credit,0.0,Online,1098,D,3691.67,1117.2,360.0,0.4,0.4,0.098,0.365,14271.5,24828.5,1477.2,17726.4,0.271,26271.5,2214.47,0,MA,4.0,81000,1770,140,116,716
100004,571219,9,1,2021,Email,REF0000,ACT-1,0.819017,6,0,1,0,32,41100,0.9,full_time,bachelor,Single,3,0,721,5,8.7,104.39999999999999,47900.0,0.0,2,2,1,0,0.239,mortgage,279900,360,6.99,Refinance,0.798,Online,1067,H,3425.0,712.04,1860.3,0.751,0.751,0.543,0.49,23471.0,24429.0,2572.34,30868.08,6.81,303371.0,852.66,0,IL,4.8,65000,1520,96,86,559
100005,556088,13,1,2021,Email,REF0000,ACT-1,0.77763,9,5,0,1,32,49000,1.1,contract,graduate,Married,1,0,725,2,11.3,135.60000000000002,96600.0,0.0,2,2,0,0,0.154,credit_card,3200,0,16.87,Revolving Credit,0.0,Branch,1049,O,4083.0,542.74,96.0,0.156,0.156,0.024,0.253,24439.8,72160.2,638.74,7664.88,0.065,27639.8,3444.59,0,CA,5.7,75000,1630,153,128,396
100006,561098,8,2,2020,Email,REF0000,ACT-1,-0.823543,8,1,1,1,35,68900,5.3,self_employed,graduate,Single,2,0,708,12,5.2,62.400000000000006,70800.0,0.0,1,1,0,0,0.26,mortgage,384300,360,5.78,Home Purchase,0.864,Branch,997,D,5742.0,681.29,2250.0,0.511,0.511,0.392,0.268,18974.4,51825.6,2931.29,35175.48,5.578,403274.4,2810.38,0,TX,4.5,61000,1440,108,93,361
100007,580027,23,5,2016,Email,REF0000,ACT-1,0.032171,5,3,1,1,30,48200,7.5,part_time,bachelor,Married,0,0,708,8,12.0,144.0,33200.0,0.0,2,2,0,0,0.37,mortgage,101500,360,7.25,Home Purchase,0.741,Online,1078,F,4016.67,1459.12,692.41,0.536,0.536,0.172,0.439,14574.8,18625.2,2151.53,25818.36,2.106,116074.8,1865.14,0,FL,4.5,55000,1270,116,89,812
100008,599339,21,0,2021,Phone,REF0000,ACT-1,0.151284,12,4,1,1,52,102800,9.1,full_time,graduate,Divorced,0,0,787,4,8.3,99.60000000000001,304500.0,0.0,1,1,0,0,0.25,credit_card,3000,0,15.35,Revolving Credit,0.0,Broker,1000,D,8566.67,3239.85,90.0,0.389,0.389,0.011,0.153,46588.5,257911.5,3329.85,39958.2,0.029,49588.5,5236.82,0,NY,5.1,72000,1990,140,109,957
100009,559068,0,3,2017,Phone,REF0000,ACT-2,-1.31444,7,2,1,0,36,41000,1.0,full_time,some_college,Single,2,0,723,1,8.7,104.39999999999999,43800.0,0.0,1,1,0,0,0.239,mortgage,62400,360,5.12,Home Purchase,0.927,Branch,996,D,3416.67,792.19,339.57,0.331,0.331,0.099,0.574,25141.2,18658.8,1131.76,13581.12,1.522,87541.2,2284.91,0,NY,4.7,72000,1800,138,109,987
100010,552642,3,6,2014,Phone,REF0000,ACT-1,-1.130855,16,1,1,1,49,38900,1.8,full_time,advanced,Married,0,0,758,14,8.6,103.19999999999999,43100.0,0.0,0,0,0,0,0.31,credit_card,10000,0,17.79,Revolving Credit,0.0,Branch,1017,O,3241.67,892.32,300.0,0.368,0.368,0.093,0.27,11637.0,31463.0,1192.32,14307.84,0.257,21637.0,2049.35,0,NJ,5.2,82000,2270,133,115,579
100011,593174,20,1,2022,Email,REF0000,ACT-3,-0.337152,7,6,1,1,45,39800,5.4,full_time,high_school,Married,0,0,721,5,7.8,93.6,121100.0,0.0,3,3,0,0,0.163,credit_card,13200,0,17.64,Revolving Credit,0.0,Online,998,I,3316.67,453.67,396.0,0.256,0.256,0.119,0.362,43838.2,77261.8,849.67,10196.04,0.332,57038.2,2466.997,0,NY,5.6,72000,1460,152,119,100
100012,569819,17,4,2013,Phone,REF0000,ACT-1,0.014109,9,1,1,1,31,36400,7.3,full_time,graduate,Married,0,0,746,10,13.0,156.0,33100.0,0.0,1,1,0,0,0.403,mortgage,266800,360,4.52,Home Purchase,0.816,Online,1002,E,3033.33,641.84,1355.01,0.658,0.658,0.447,0.26,8606.0,24494.0,1996.85,23962.2,7.33,275406.0,1036.483,0,TX,4.4,61000,1300,109,88,399
100013,642310,11,2,2018,Phone,REF0000,ACT-2,0.949691,28,1,0,1,60,27700,7.4,full_time,bachelor,Married,3,0,776,11,9.7,116.39999999999999,42400.0,0.0,0,0,0,0,0.26,mortgage,117000,180,4.55,Refinance,0.792,Online,1046,U,2308.33,437.25,898.03,0.578,0.578,0.389,0.064,2713.6,39686.4,1335.28,16023.36,4.224,119713.6,973.053,0,NC,4.5,54000,1310,101,83,208
100014,612841,3,2,2012,Email,REF0000,ACT-1,0.935049,10,0,1,1,40,57600,3.4,full_time,some_college,Married,2,0,726,11,7.1,85.19999999999999,142500.0,0.0,2,2,0,0,0.381,credit_card,5800,0,17.52,Revolving Credit,0.0,Broker,1074,A,4800.0,1889.53,174.0,0.43,0.43,0.036,0.63,89775.0,52725.0,2063.53,24762.36,0.101,95575.0,2736.47,0,TN,3.4,53000,1200,101,87,150
100015,560042,19,0,2023,Phone,REF0000,ACT-1,0.62408,12,0,0,0,36,48900,5.4,full_time,some_college,Single,1,0,758,11,1.1,13.200000000000001,55600.0,0.0,0,0,0,0,0.267,personal,18900,12,10.54,Debt Consolidation,0.0,Online,1086,T,4075.0,774.55,1666.36,0.599,0.599,0.409,0.417,23185.2,32414.8,2440.91,29290.92,0.387,42085.2,1634.09,0,FL,4.2,55000,1450,110,89,865
100016,642729,21,6,2021,Email,REF0000,ACT-3,1.073932,19,4,1,1,45,33300,12.6,full_time,some_college,Married,2,0,693,9,13.5,162.0,61900.0,0.0,1,1,0,0,0.309,credit_card,10600,0,16.53,Revolving Credit,0.0,Online,1042,S,2775.0,1011.23,318.0,0.479,0.479,0.115,0.367,22717.3,39182.7,1329.23,15950.76,0.318,33317.3,1445.77,0,OH,4.6,56000,1280,88,85,827
100017,614821,21,4,2010,Email,REF0000,ACT-1,0.249232,10,1,0,1,52,40500,1.5,part_time,bachelor,Married,2,0,765,21,6.1,73.19999999999999,37600.0,0.0,2,2,0,0,0.334,personal,17100,36,9.4,Other,0.0,Broker,999,L,3375.0,395.97,546.96,0.279,0.279,0.162,0.078,2932.8,34667.2,942.93,11315.16,0.422,20032.8,2432.07,0,TX,4.3,61000,1340,106,82,899
100018,612647,17,0,2021,Email,REF0000,ACT-1,0.251077,7,2,1,0,30,41200,0.9,part_time,some_college,Single,0,0,622,2,1.5,18.0,35300.0,0.0,1,1,0,0,0.224,mortgage,443700,360,8.25,Home Purchase,0.661,Branch,1081,E,3433.33,489.93,3333.37,1.114,1.114,0.971,0.385,13590.5,21709.5,3823.3,45879.6,10.769,457290.5,-389.967,0,FL,5.0,55000,1260,122,91,305
100019,551880,12,0,2022,Email,REF4163,ACT-1,0.652197,11,0,1,0,56,32200,2.6,full_time,advanced,Married,0,0,755,20,10.7,128.39999999999998,71800.0,0.0,1,1,0,0,0.442,mortgage,434500,360,5.66,Refinance,0.84,Online,1075,T,2683.0,872.3,2510.84,1.261,1.261,0.936,0.548,39346.4,32453.6,3383.14,40597.68,13.494,473846.4,-699.807,0,TN,4.2,53000,1330,105,87,233
